permit_number,s_name,s_address,city,z_code,p_fee,c_number,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
PAA180178,POST OFFICE & COURTHOUSE,700 GRANT ST,PITTSBURGH,15219,200,18290,,, REMOVE FLOOR TILE/MASTIC FROM 1-126,296,t,2018-02-10,2018-02-10,8,t,f,2018-02-10,RENOVATION,40.4422741604836,-79.9945318961147
PAA180179,ST BENEDICT THE MOOR OLD SCHOOL BUILDING,2900 BEDFORD AVE,PITTSBURGH,15219,850,17907,,,REMOVE FLOOR TILE & UNDERLAYMENT IN COAT ROOM & MAIN STUDIO ROOM ON 2ND FLOOR,1100,t,2018-03-08,2018-08-03,2,t,t,2018-05-04,RENOVATION,40.4525626778715,-79.9673519529593
PAA180180,THE GOLDEN TOWER,215 ALLEGHENY ST,TARENTUM,15084,850,4278,,,"REMOVE VAT/MASTIC FROM UNITS 2A, 2B, 2G, 3G, 3B, 4H, 4A, & 4G",2233,t,2018-03-09,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.6022597297579,-79.7497917175996
PAA180181,OFFICE BUILDING,300  CEDAR BLVD,DORMONT,15228,200,4352,,,REMOVE CEILING TILE MASTIC IN DR. BOB'S SIDE BASEMENT 202/203 & SLOP SINK,37,f,2018-03-05,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.380313190105,-80.052891955746
PAA180182,ACHN FORBES HOSPITAL,2570 HAYMAKER RD,MONROEVILLE,15146,850,1026,,,REMOVE VCT & MASTIC FROM PHARMACY & PERI-OPERATIVE ON FIRST FLOOR,2000,t,2018-03-12,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.4282603186906,-79.7476530188951
PAA180183,ACHN JEFFERSON HOSPITAL,565 COAL VALLEY RD,JEFFERSON HILLS,15025,850,1035,,,"REMOVE CARPET, VCT & BLACK MASTIC",12000,t,2018-03-05,2018-09-30,2,t,f,2018-09-30,RENOVATION,40.3179030628942,-79.9336525202663
PAA180184,MALLET & COMPANY - 1 NORTH BELL AVENUE,,CARNEGIE,15106,200,17908,,,REMOVE FLOOR TILE & MASTIC IN ENTRY HALL AND OFFICE,252,t,2018-02-27,2018-04-20,2,t,f,2018-04-20,RENOVATION,40.4067838293825,-80.0975570005656
PAA180185,"8449 Perry Highway - Pittsburgh, PA 15214",,PITTSBURGH,15214,850,1822,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,1800,f,2018-03-15,2018-03-24,2,t,f,2018-03-24,DEMOLITION,40.4925711637319,-80.0221214110334
PAA180186,TRINITY UNITED METHODIST CHURCH,847  10TH AVE,BRACKENRIDGE,15014,850,013056,,,"REMOVE PLASTER CEILING IN THE PARLOR, HALLWAY, OLD CLASS ROOMS, VAT & MASTIC CHOIR ROOM, HALLWAY, ALL CLASSROOMS, AND FITTINGS ABOVE CEILING",3617,t,2018-03-05,2018-06-14,2,t,f,2018-06-14,RENOVATION,40.6108988361414,-79.7483056082121
PAA180187,RESIDENTIAL,5410  CAMELIA ST,PITTSBURGH,15201,850,7330,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,1496,f,2018-03-19,2018-12-20,8,t,f,2018-12-20,RENOVATION,40.4795434956947,-79.9462123140281
PAA180188,RESIDENTIAL,5314  KINCAID ST,PITTSBURGH,15224,850,7331,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,1100,f,2018-03-19,2018-12-30,8,f,f,2018-12-30,DEMOLITION,40.466567816457,-79.9378054062174
PAA180189,RESIDENTIAL,5316  KINCAID ST,PITTSBURGH,15224,850,7333,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,1500,f,2018-03-19,2018-12-30,8,t,f,2018-12-30,DEMOLITION,40.4663608686783,-79.9373868155363
PAA180190,RESIDENTIAL,5318  KINCAID ST,PITTSBURGH,15224,850,7335,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,1100,f,2018-03-19,2018-12-30,8,t,f,2018-12-30,DEMOLITION,40.4663617593121,-79.9373253651267
PAA180191,FORMER PLUM AQUA CLUB,7753 SALTSBURG RD,PLUM,15239,200,18908,,,REMOVE JOINT COMPOUND/DRYWALL FROM CONCESSION STAND,200,f,2018-03-13,2018-03-31,2,t,f,2018-03-31,DEMOLITION,40.4763361271105,-79.7681412668673
PAA180192,RESIDENTIAL,430  LINCOLN AVE,PITTSBURGH,15206,450,013057,,,REMOVE VAT FROM KITCHEN AND BASEMENT & GLUE SPOTS FROM KITCHEN,440,t,2018-03-16,2018-05-16,2,t,f,2018-05-16,RENOVATION,40.4606024302909,-79.9105460444705
PAA180193,PINE CREEK PLAZA - FORMER RADIO SHACK STOREROOM #7,9805 MCKNIGHT RD,PITTSBURGH,15237,850,4277,,,REMOVE FLOOR TILE/MASTIC THOUGHOUT,2000,f,2018-03-20,2018-04-02,2,t,f,2018-04-02,RENOVATION,40.5868411123455,-80.0416632878802
PAA180194,RESIDENTIAL,546  WINFIELD ST,PITTSBURGH,15206,850,3663,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,,f,2018-03-21,2018-04-03,2,t,f,2018-04-03,DEMOLITION,40.4635377563301,-79.9104979267795
PAA180195,APARTMENTS,7332  RACE ST,PITTSBURGH,15208,200,2,,,REMOVE FLOOR TILE FROM 2ND FLOOR BEDROOM,196,f,2018-03-10,2018-03-14,2,t,f,2018-03-14,RENOVATION,40.4577633953138,-79.8917861582328
PAA180196,UOP-O&M-VARIOUS BLDGS - 3412 FORBES AVENUE,,PITTSBURGH,15219,850,4283,,,REMOVE VARIOUS MATERIALS FROM VARIOUS BUILDINGS IN VARIOUS LOCATIONS,160,t,2018-02-28,2018-12-31,2,f,f,2018-12-31,RENOVATION,40.4430363968235,-80.0248548904607
PAA180197,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,450,1009,,,"REMOVE 12X12 FLOOR TILE, MASTIC, & SINK COATING IN ROOM 1 & 12X12 FLOOR TILE & MASTIC",616,t,2018-03-20,2019-03-20,2,t,f,2019-03-20,RENOVATION,40.4360439740714,-79.9854587006851
PAA180198,UNIVERSITY OF PITTSBURGH - HOMEWOOD,623 N HOMEWOOD AVE,PITTSBURGH,15208,850,4288,,,REMOVE VAT/MASTIC FROM 1ST FLOOR & ROOF FLASHING,6650,f,2018-03-21,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.4553707795054,-79.8973615173379
PAA180199,"31 MORANGE ROAD - PITTSBURGH, PA 15205",,PITTSBURGH,15205,850,17931,,,REMOVE LINOLEUM FROM 2ND FLOOR BATHROOM & TRANSITE SIDING FROM EXTERIOR OF HOUSE & GARAGE,2540,f,2018-03-20,2018-05-18,2,t,f,2018-05-18,DEMOLITION,40.4532037252597,-80.0923028397073
PAA180200,UPMC/UNIVERSITY OF PITTSBURGH/SCAIFE HALL,4200 5TH AVE,PITTSBURGH,15213,850,4609,,,REMOVE FLOOR TILE & MASTIC FROM 10TH FLOOR A1010/A1012/A1010.1-2,1300,t,2018-03-21,2018-04-06,2,t,f,2018-04-06,RENOVATION,40.4443102647694,-79.9531966404474
PAA180201,ABANDONED STORE FRONT,820  LIBERTY AVE,PITTSBURGH,15222,850,106611,,,REMOVE PIPE INSULATION FROM 4TH FLOOR & CEILING PLASTER FROM 5TH FLOOR,3950,f,2018-03-14,2018-04-02,2,t,f,2018-04-02,RENOVATION,40.442721175756,-79.9981926151543
PAA180202,"150-151 ORCHARD STREET (DUPLEX) - STOWE TWP, PA 15136",150  ORCHARD ST,STOWE,15136,850,8237,,,REMOVE FLOOR TILE IN 152 KITCHEN & JOINT COMPOUND IN 150 KITCHEN WALL,1250,f,2018-03-16,2018-04-08,2,t,f,2018-04-08,DEMOLITION,40.4827574358281,-80.0651330999505
PAA180203,PPG INDUSTRIES - WAREHOUSE BUILDING,125  COLFAX ST,SPRINGDALE BORO,15144,450,17946,,,REMOVE FLOOR TILE & MASTIC IN BREAKROOM,356,t,2018-03-23,2018-05-25,2,t,f,2018-05-25,RENOVATION,40.5371681797844,-79.784834845044
PAA180204,VERIZON CARRICK,2256  BROWNSVILLE RD,PITTSBURGH,15210,850,5111,,,"REMOVE FLOOR TILE & MASTIC IN BASEMENT & FIRST FLOOR, ROOF FLASHING, PIPE INSULATION FITTINGS ON FIRST FLOOR",1281,t,2018-03-26,2018-05-31,2,f,f,2018-05-31,RENOVATION,40.38931646852,-79.9856800620621
PAA180205,ST. LOUISE DE MARILLAC SCHOOL,310  MCMURRAY RD,UPPER ST CLAIR,15241,200,17934,,,REMOVE GLAZING & CAULKING ON ALL EXTERIOR WINDOWS,160,t,2018-03-22,2018-08-31,2,t,f,2018-08-31,RENOVATION,40.3169401563001,-80.0722394137689
PAA180206,DUQUESNE LIGHT O&M - 2825 NEW BEAVER ROAD,,PITTSBURGH,15233,850,004386,,,"REMOVE WIRE, PIPE INSULATION, SIDING, TILE & MASTIC, BREAKER BOARDS, & PLASTER FROM VARIOUS LOCATIONS & BUILIDNGS",160,t,2018-04-01,2018-12-31,2,f,f,2018-12-31,RENOVATION,40.4639144343458,-80.0451834228547
PAA180207,RESIDENTIAL,3251  CENTRAL AVE,PITTSBURGH,15212,850,7952,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,,f,2018-03-13,2018-04-13,2,t,f,2018-04-13,DEMOLITION,40.475955545764,-80.0293056875407
PAA180208,SINGLE FAMILY HOME,574  5TH ST,PITCAIRN,15140,200,1829,,,REMOVE RESILIENT GREEN FLOORING FROM KITCHEN SUB-FLOOR & DUCT WRAP IN BASEMENT,255,f,2018-03-19,2018-03-30,2,t,f,2018-03-30,DEMOLITION,40.4049294965964,-79.776732854507
PAA180209,VACANT APARTMENTS,37  GRANT AVE,ETNA,15223,450,1238,,,REMOVECAULKING ON SOME WINDOWS AND DOORS,347,f,2018-03-13,2018-04-01,2,t,f,2018-04-01,DEMOLITION,40.5040259747867,-79.9492227468391
PAA180210,AHN JEFFERSON HOSPITAL,565 COAL VALLEY RD,JEFFERSON HILLS,15025,450,1024,,,"REMOVE CARPET, VCT & BLACK MASTIC IN 2ND FLOOR DIETARY OFFICES",915,t,2018-03-27,2018-06-30,2,f,f,2018-06-30,RENOVATION,40.3179030628942,-79.9336525202663
PAA180211,UPMC WESTERN PSYCHIATIC,3811 OHARA ST,PITTSBURGH,15213,850,5104,,,"REMOVE PIPE INSULATION, PLASTER CEILING, & FLOOR TILE/MASTIC ON 5TH FLOOR",3541,t,2018-03-19,2018-08-30,2,t,t,2018-05-31,RENOVATION,40.4437217511991,-79.9599021155951
PAA180212,553-555 WINFIELD STREET,553  WINFIELD ST,PITTSBURGH,15206,850,3664,,,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,,f,2018-03-16,2018-04-16,2,t,f,2018-04-16,DEMOLITION,40.463577738337,-79.9104711089966
PAA180213,RESIDENCE,9  WYOMING ST,PITTSBURGH,15211,200,8252,,,"REMOVE FLOOR TILE IN 1ST FLOOR, BACK ROOM & BASEMENT BATHROOM & LIVING ROOM",225,f,2018-03-27,2018-04-03,2,t,f,2018-04-03,DEMOLITION,40.4305501406653,-80.0064650031907
PAA180214,RESIDENCE,9  VINECLIFFE ST,PITTSBURGH,15211,200,8252,,,REMOVE FLOOR TILE IN 1ST FLOOR KITCHEN & 2ND FLOOR HALLWAY,180,f,2018-03-27,2018-04-03,2,f,f,2018-04-03,DEMOLITION,,
PAA180215,RESIDENTIAL DUPLEX,163 E SYCAMORE ST,PITTSBURGH,15211,850,8252,,,"REMOVE FLOOR TILE IN 2ND FLOOR HALLWAY, BACK ROOM & KITCHEN & TRANSITE SHINGLE SIDING ON OUTSIDE",2245,f,2018-03-27,2018-04-09,2,t,f,2018-04-09,DEMOLITION,40.4302578780344,-80.0064367122752
PAA180216,PA AIR NATIONAL GUARD - 300 TANKER ROAD,,CORAOPOLIS,15108,650,1010,,,REMOVE MASTIC IN HANGER 302 1ST & 2ND FLOORS,10604,t,2018-03-18,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.5218528063637,-80.1747735194671
PAA180217,UPMC SHADYSIDE? HOSPITAL,5230 CENTRE AVE,PITTSBURGH,15232,850,4353,,,"REMOVE FIREPROOFING & FLOOR TILE AND MASTIC IN BASEMENT PHARMACY.  REMOVE THE TOP 2 LAYERS OF BLOCK & SCRAPE THE FIREPROOF ABOVE, APPROXIMATELY 100SF OF FIREPROOFING FROM WITHIN THE ORIGINAL CONTAINMENT BOUNDARIES",3100,t,2018-03-22,2019-03-21,2,t,f,2019-03-21,RENOVATION,40.4546642584153,-79.9395872787866
PAA180218,CARNEGIE MELLOW UNIVERSITY - PORTER HALL,5000 FORBES AVE,PITTSBURGH,15213,450,11285,,,"REMOVE FLOOR TILE IN ROOMS 223 A, 223A1, & 223B",485,t,2018-03-30,2018-04-30,2,t,f,2018-04-30,RENOVATION,40.4442129846549,-79.94339909741
PAA180219,FORMER CHESWICK FLORAL/LOTTERY,1210 PITTSBURGH ST,CHESWICK,15024,200,1023,,,REMOVE FLOOR TILE & MASTIC ON 1ST FLOOR,272,f,2018-03-29,2018-04-15,2,t,f,2018-04-15,DEMOLITION,40.541071700701,-79.8031573594803
PAA180220,PITTSBURGH NEW CHURCH,299  LEROI RD,PITTSBURGH,15208,850,4290,,,REMOVE VAT/MASTIC FROM BASEMENT,1900,t,2018-03-27,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.44842607597,-79.9037813871021
PAA180221,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,850,5112,,,REMOVE FLOOR TILE & MASTIC IN 3RD FLOOR ERMIRE,532,t,2018-03-27,2018-04-30,2,t,f,2018-04-30,RENOVATION,40.4360439740714,-79.9854587006851
PAA180222,ALLEGHENY BUILDING,429 FORBES AVE,PITTSBURGH,15219,850,18996,,,"REMOVE PIPE INSULATION, AHU BREECHING INSULATION & TANK INSULATION IN BASEMENT VAULT AREA",4050,f,2018-03-26,2018-05-18,2,t,t,2018-04-30,RENOVATION,40.4391513340778,-79.9978520148461
PAA180223,SINGLE FAMILY RESIDENTIAL,552  STOKES AVE,NORTH BRADDOCK,15104,850,7304,,,REMOVE TRANSITE SIDING ON EXTERIOR,1800,f,2018-04-02,2018-12-30,2,t,f,2018-12-30,DEMOLITION,40.4085640142735,-79.8620529651071
PAA180224,PITTSBURGH MUSICAL THEATER - 327 S. MAIN STREET,,PITTSBURGH,15234,450,4335,,,REMOVE FLOOR TILE/MASTIC IN 1 CLASSROOM ON FIRST FLOOR,900,t,2018-04-05,2018-04-16,2,t,f,2018-04-16,RENOVATION,40.3752463685398,-80.0059263919322
PAA180225,SINGLE FAMILY RESIDENTIAL,1227 BELL AVE REAR,NORTH BRADDOCK,15104,200,7275,,,REMOVE LINOLEUM FROM KITCHEN & CAULKING ON 10 EXTERIOR WINDOWS,203,f,2018-04-02,2018-12-30,2,t,f,2018-12-30,DEMOLITION,40.4000039535084,-79.8575305785846
PAA180226,"1204 & 1206 KIRKPATRICK AVENUE - N BRADDOCK, PA 15104",1204 KIRKPATRICK AVE,NORTH BRADDOCK,15104,850,7276,,,REMOVE TRANISTE SIDING ON EXTERIOR & INTERNAL BOILDER COMPONENTS IN BASEMENT,2100,f,2018-04-02,2018-12-30,2,t,f,2018-12-30,DEMOLITION,40.4007136777172,-79.8579704406739
PAA180227,COMMERCIAL OFFICE,525  WILLIAM PENN PL,PITTSBURGH,15219,850,4294,,,REMOVE PIPE INSULATION ABOVE CEILING IN LOBBY & TAR PAPER IN UPPER LOBBY,1405,t,2018-04-21,2018-12-31,2,f,f,2018-12-31,RENOVATION,40.4402016195189,-79.9977400244851
PAA180228,"3801 LIBERTY AVENUE - PITTSBURGH, PA 15224",,PITTSBURGH,15224,850,1839,,,"REMOVE BLACK TAR & GLAZING FROM ROOF WINDOW, TRANSITE PANEL FROM 3RD FLOOR REAR ROOM, WHITE DUCT TAPE FROM 3RD FLOOR CENTER, PIPE INSULATION & JOINT MUD FITTINGES IN BASEMENT AND 3RD FLOOR CHASE",950,f,2018-03-30,2018-04-13,2,t,f,2018-04-13,RENOVATION,40.4612562027025,-79.9602761883961
PAA180229,SHOPPING CENTER - 12250 FRANKSTOWN AVENUE,,PENN HILLS,15235,850,18635,,,"REMOVE FROM JC HOBBIES FLOOR TILE & MASTIC BASEMENT COUNTER & SHOPPING AREA, & INT DOOR & WINDOW CAULK; WINDOW CAULK FROM INT OF DOLLAR GENERAL; CEMENTITILOUS PIPE FROM RM I-J & B, BLACK MASTIC BACK HLWY BY RM G & FL TILE & MASTIC FROM RM G, OFFICES 1&2",4552,f,2018-03-21,2019-03-21,2,f,f,2019-03-21,RENOVATION,40.4639030867143,-79.8873454128092
PAA180230,CHILDREN'S MUSEUM ROOF,10 CHILDRENS WAY,PITTSBURGH,15212,850,008041,,,"REMOVE FLASHING FROM PERIMETER & PENETRATIONS OF BUILT-UP ROOF AREAS A, B,& H ONLY",700,t,2018-04-15,2018-06-08,2,t,f,2018-06-08,RENOVATION,40.4525964555568,-80.0069732748943
PAA180231,FORMER ST. MATTHEW'S CHURCH,148 S 19TH ST,PITTSBURGH,15203,850,11293,,,REMOVE FLOOR TILE & MASTIC ON MAIN FLOOR & FORMER ALTAR & PIPE INSULATION IN BASEMENT (WEST SIDE),3929,f,2018-04-05,2018-05-31,2,t,f,2018-05-31,RENOVATION,40.4263904145981,-79.9795854358994
PAA180232,RESIDENCE,345  WELSH AVE,WILMERDING,15148,450,7289,,,REMOVE 9X9 FLOOR TILE FROM 1ST FLOOR FRONT RIGHT ROOM & TRANSITE SIDING FROM FRONT EXTERIOR,623,f,2018-04-06,2018-12-30,2,t,f,2018-12-30,DEMOLITION,40.3900521245061,-79.807698198556
PAA180233,CLACK HEALTH CENTER BLDG #5,301  39TH ST,PITTSBURGH,15201,850,4334,,,REMOVE VAT/MASTIC FROM 1ST & 2ND FLOOR,1454,f,2018-04-06,2018-04-15,2,t,f,2018-04-15,RENOVATION,40.4654205789884,-79.9606189608018
PAA180234,"OPERATION BETTER BLICK, INC",801 N HOMEWOOD AVE,PITTSBURGH,15208,200,003,,,REMOVE FLOOR TILE IN BASEMENT & RESTROOMS AND MASTIC IN BASEMENT RESTROOM,580,t,2018-04-06,2018-04-08,2,t,f,2018-04-08,RENOVATION,40.4566405066397,-79.8969145098078
PAA180235,VACANT RESIDENCE,3236  MAY ST,CASTLE SHANNON,15234,200,8270,,,REMOVE LINOLEUM IN BATHROON & KITCHEN AND EXTERIOR WINDOW CAULKING ON GARAGE,193,f,2018-04-04,2018-04-08,2,t,f,2018-04-08,DEMOLITION,40.3700273365165,-80.0078429260047
PAA180237,MERCY HOSPITAL 9TH FLOOR,1400 LOCUST ST,PITTSBURGH,15219,200,4623,,,REMOVE FLOOR TILE & MASTIC ON THE REMAINING 9TH FLOOR CORRIDORS,7400,t,2018-03-29,2018-12-31,2,t,t,2019-02-06,RENOVATION,40.4360439740714,-79.9854587006851
PAA180238,VACANT RESIDENTIAL APARTMENTS,855  STREETS RUN RD,PITTSBURGH,15236,450,8270,,,"REMOVE LINOLEUM IN APT 2 BATHROOM, APT 4 KITCHEN, & APT3 KITCHEN & UNDRLMNT IN APT 3 KITCHEN",325,f,2018-03-30,2018-04-10,2,t,f,2018-04-10,DEMOLITION,40.3489650185577,-79.9713069861547
PAA180239,GULF TOWER - 4TH FLOOR,707  GRANT ST,PITTSBURGH,15219,850,17973,,,REMOVE PIPE INSULATION ON WILLIAM PENN SIDE,100,t,2018-04-06,2018-05-04,2,t,f,2018-05-04,RENOVATION,40.4425865935344,-79.9952311155013
PAA180240,RIDC MANOR BLDG #1 - 119-137 COMMONWEALTH DR,,MARSHALL,15086,850,17974,,,REMOVE TRANSITE PANELS REAR OF BUILDING,1033,t,2018-04-06,2018-06-08,2,t,f,2018-06-08,RENOVATION,40.673160072034,-80.118491391344
PAA180241,ST. BENEDICT THE MOOR OLD SCHOOL BUILDING,2900 BEDFORD AVE,PITTSBURGH,15219,200,17994,,,REMOVE FLOOR TIEL FROM STUDIO C CLASSROOM 5,850,t,2018-04-09,2018-08-03,2,t,f,2018-08-03,RENOVATION,40.4525626778715,-79.9673519529593
PAA180242,US STEEL CLAIRTON BTX FIRE PUMP HOUSE ROOF,400 STATE ST,CLAIRTON,15025,850,028350,,,REMOVE BUILT UP ROOF,1100,f,2018-04-09,2019-04-09,2,t,f,2019-04-09,RENOVATION,40.2940110111861,-79.8743163626466
PAA180236,BETTIS ATOMIC POWER LABORATORY - AT BUILDING,814 PITTSBURGH MCKEESPORT BLVD,WEST MIFFLIN,15122,850,2018848,,,"VARIOUS MATERIALS THORUGHOUT THE INTEROIR & EXTERIOR 1ST & 2ND FLOORS, EXTEROIR VENT CAULKING & RESIDUAL CAULKING ON THE NORTH, SOUTH, & WEST WALLS, PIPE FITTING INSULATION IN WEST STAIRWELL & EXTENSION, & CAULKING ON THE WEST CANOPY ROOF",37473,t,2018-04-10,2019-04-09,2,t,f,2019-04-09,RENOVATION,40.3572354645406,-79.8991410934409
PAA180243,TWO PNC PLAZA,620  LIBERTY AVE,PITTSBURGH,15222,850,4628,,,"REMOVE FLOORING/MASTIC ON THE 2ND, 20TH, 12TH, 14TH, 25TH, & 16TH FLOORS",2400,t,2018-04-23,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.4418188313799,-80.0008354490418
PAA180244,COMMERCIAL BUILDING,104 W NORTH AVE,PITTSBURGH,15212,850,1127,,,REMOVE VAT & MASTIC ON THE FIRST FLOOR,2050,f,2018-04-10,2018-04-30,2,t,f,2018-04-30,RENOVATION,40.4554403171956,-80.0079817951445
PAA180245,SHENANGO COKE PLANT,200 NEVILLE RD,NEVILLE,15225,200,13384,,,REMOVE 2 WINDOWS & BLACK COATING FROM QUONSET BUILDING,153,f,2018-03-28,2018-05-21,2,t,f,2018-05-21,DEMOLITION,40.4942377251384,-80.0809510160549
PAA180246,UPMC SCAIFE HALL - 200 LOTHROP STREET,,PITTSBURGH,15232,450,4355,,,REMOVE FLOOR TILE & MASTIC IN THE OFFICES ON 2M MEZZANINE,1170,t,2018-04-10,2019-04-09,2,t,f,2019-04-09,RENOVATION,40.4551264334198,-79.9424815327283
PAA180247,INDUSTRIAL WAREHOUSE,201 N BRADDOCK AVE,PITTSBURGH,15208,850,7303,,,REMOVE VAT AND MASTIC FROM 2ND & 3RD FLOORS,6200,t,2018-04-03,2018-12-31,2,f,f,2018-12-31,RENOVATION,40.4484015190969,-79.8947459788433
PAA180248,712 DETROIT AVENUE,,GLASSPORT,15047,850,7298,,,REMOVE EXTERIOR TRANSITE SIDING,1584,f,,2018-12-31,2,f,f,2018-12-30,DEMOLITION,40.3250831173732,-79.892233041814
PAA180249,AMOS HALL - 3925 FIFTH AVENUE,,PITTSBURGH,15213,450,26630,,,REMOVE FLOOR TILE & MASTIC IN BASEMENT,1300,t,2018-04-16,2018-06-04,2,t,f,2018-06-04,RENOVATION,40.438222758373,-79.9722482342226
PAA180250,VILLAGE AT PENNWOOD,900  WEST ST,WILKINSBURG,15221,850,7039,,,REMOVE FLOOR TILE UNDER CARPET AND MASTIC UNDER TILE ON FIRST FLOOR,2400,t,2018-04-04,2018-06-13,2,t,f,2018-06-13,RENOVATION,40.4446017893133,-79.8898088474167
PAA180251,APARTMENTS,820 N BEATTY ST,PITTSBURGH,15206,850,17995,,,REMOVE PIPE INSULATION FROM BASEMENTS,100,t,2018-04-13,2018-06-08,2,t,f,2018-06-08,RENOVATION,40.4710986428009,-79.9216646030583
PAA180252,VACANT RESIDENCE,210  DUFF RD,SEWICKLEY,15143,450,47043,,,"REMOVE FLOOR TILE, RESIDUAL CAULKING ON GARAGE DOOR, TRANSITE FLUE PIPE BELOW FLOOR UP THROUGH THE ROOF, VENT CAULKING ON ROOF",479,f,2018-04-13,2018-04-20,2,t,f,2018-04-20,DEMOLITION,40.5527370071314,-80.1091779818156
PAA180253,TRINITY UNITED METHODIST CHURCH,847  10TH AVE,BRACKENRIDGE,15014,450,013116,,,"REMOVE PLASTER  IN HALLWAY, SECRETARY'S OFFICE & BATHROOMS & FITTINGS FROM OFFICES, HALLWAY & BATHROOMS",900,t,2018-04-10,2018-05-11,2,t,f,2018-05-11,RENOVATION,40.6108988361414,-79.7483056082121
PAA180254,CATHEDRAL OF LEARNING 22ND & 23RD FL - 4200 5TH AVE,,PITTSBURGH,15260,850,4300,,,REMOVE PIPE INSULATION & FLOOR TILE ON 23RD FLOOR AND PIPE INSULATION ON 22ND FLOOR,4650,t,2018-04-18,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.4258800444082,-80.0405130122884
PAA180255,BEVERLY HEIGHTS PRESBYTERIAN CHURCH,1207  WASHINGTON RD,DORMONT,15228,450,18023,,,"REMOVE PIPE INSULATION IN MAIN PLAY AREA, TWO OFFICES, HALLWAY & TWO ROOMS NEAR STAIRWELL IN BASEMENT",32,t,2018-04-18,2018-09-28,2,t,f,2018-09-28,RENOVATION,40.3663579518955,-80.0480833592111
PAA180256,CITY COUNTY BUILDING,414 GRANT ST,PITTSBURGH,15219,850,4301,,,REMOVE VAPOR BARRIER FROM ROOF,3400,t,2018-04-18,2018-12-31,2,t,f,2018-12-31,RENOVATION,40.4381146583578,-79.9968595061029
PAA180257,FAB-TEC INDUSTRIES,3500  UNIVERSITY BLVD,CORAOPOLIS,15108,850,1852517,,,REMOVE PANEL COATING FROM ROOF MONITORS,1000,t,2018-04-23,2018-06-30,1,f,f,2018-06-30,RENOVATION,40.5273529530118,-80.1828741802839
PAA180258,COMMERCIAL BUILDING,2919 SOUTH PARK RD,BETHEL PARK,15102,850,1128,,,REMOVE TRANSITE TILE FROM WOMEN'S RESTROOM & TAR & PAINT FROM ROOF,5300,f,2018-04-10,2018-04-25,2,t,f,2018-04-25,DEMOLITION,40.3279000690371,-80.0398565147871
PAA180259,NOBLE MANOR CENTER,2350  NOBLESTOWN RD,PITTSBURGH,15205,450,013123,,,REMOVE VAT THRU-OUT SUITE #02,900,t,2018-04-23,2018-06-23,2,t,f,2018-06-23,RENOVATION,40.4274634158064,-80.0557498751324
PAA180260,NETL BUILDING 84 - 626 COCHRANS MILL ROAD,,PITTSBURGH,15236,450,7237,,,"FLOORTILE RMS 209,210 FLOORTILE&MASTIC  2ND FLOOR HALL ,MASTIC-AT DOORWAYS OF ROOMS 205,205A,207& 207A",410,t,2018-04-23,2018-05-30,2,t,f,2018-05-30,RENOVATION,40.3490702937537,-79.9735542639648
PAA180261,911 AIRLIFT WING (BLDG. 320),2475 DEFENSE AVE,MOON,15108,450,4633,,,REMOVE FLOOR TILE AND MASTIC IN THE BOEING PARTS STORAGE AREA,565,t,2018-04-17,2018-04-30,2,t,f,2018-04-30,RENOVATION,40.4924026304728,-80.2103127475767
PAA180262,ALLEGHENY GENERAL HOSPITAL,320 E NORTH AVE,PITTSBURGH,15212,850,1039,,,REMOVE TSI/ACM-PIPE FITTINGS AND SPRAY-ON FIREPROOFING FROM,905,t,2018-04-10,2018-09-29,2,t,f,2018-09-29,RENOVATION,40.457069446526,-80.0036975361617
PAA180263,BUNCHER COMMERCE PARK-BLDG #10 - 541 AVENUE B,,LEETSDALE,15056,850,18039,,,REMOVE FLOOR TILE ON 2ND FLOOR,3660,t,2018-04-20,2018-06-29,2,t,f,2018-06-29,RENOVATION,40.5699471918539,-80.2231260029999
